clean_title,clean_author,subjects,source
...And Their Memory Was A Bitter Tree,Robert Howard,"['Fiction, fantasy, short stories']",openlibrary.org
(Non)Conform Russian And Soviet Art 1958-1995,Barbara Thiemann,[],openlibrary.org
Scuse Me While I Kiss The Sky,David Henderson,[],openlibrary.org
A Black Gaze,Tina Campt,[],openlibrary.org
A Black Rose Thrived,Rochelle Richey,[],openlibrary.org
A Brief History Of Album Covers,Jason Draper,"['Sound recordings', 'Packaging']",openlibrary.org
A Brief History Of Manga,Helen Mccarthy,[],openlibrary.org
A Brief History Of Vice,Robert Evans,"['Vice', 'Modern Civilization', 'History', 'Civilization, modern', 'nyt:fashion-manners-and-customs=2016-09-11', 'New York Times bestseller']",openlibrary.org
A Celebration Of Childhood,Helen Sudell,[],openlibrary.org
A Centaur'S Life 10,Kei Murayama,"['Centaurs', 'Comic books, strips', 'High school students', 'Mythical Animals', 'Graphic novels', 'Graphic books']",openlibrary.org
A Centaur'S Life 12,Kei Murayama,[],openlibrary.org
A Centaur'S Life 13,Kei Murayama,[],openlibrary.org
A Centaur'S Life 14,Kei Murayama,[],openlibrary.org
A Centaur'S Life 15,Kei Murayama,[],openlibrary.org
A Centaur'S Life 2,Kei Murayama,"['Juvenile fiction', 'Graphic novels', 'High school students', 'Centaurs', 'High schools', ""Children's fiction"", 'Cartoons and comics', 'Fantasy fiction']",openlibrary.org
A Centaur'S Life 6,Kei Murayama,[],openlibrary.org
A Certain Scientific Accelerator V1,Kazuma Kamachi,[],openlibrary.org
A Child Is Born,Lennart Nilsson,"['Pregnancy', 'Childbirth', 'Pictorialworks', 'Pictorial works', 'Pregnancy, pictorial works']",openlibrary.org
A Child Of A Crackhead,Shameek Speight,"['Children of drug addicts', 'African Americans', 'Fiction', 'Fiction, thrillers, suspense']",openlibrary.org
A Child Of A Crackhead 2 A Fight To Stay Alive,Shameek Speight,[],openlibrary.org
A Child Of A Crackhead 3 The Death Of Black Ice,Shameek Speight,[],openlibrary.org
A Child Of A Crackhead 4,Shameek Speight,[],openlibrary.org
A Clash Of Kings Graphic Novel V2,George Martin,[],openlibrary.org
A Clockwork Murder,Steve Jackson,['Crime'],openlibrary.org
A Clockwork Orange,Peter Kramer,"['Clockwork orange (Motion picture)', 'PERFORMING ARTS / Film & Video / Guides & Reviews', 'PERFORMING ARTS / Film & Video / General', 'PERFORMING ARTS / Film & Video / History & Criticism', 'Film criticism', 'Kubrick, stanley, 1928-1999']",openlibrary.org
A Clockwork Orange,Stanley Kubrick,"['Movies', 'Motion Pictures', 'Films', 'Cult Movies', 'Novelization', 'Stanley Kubrick', 'Drama', 'Juvenile delinquency', 'Brainwashing', 'Clockwork orange (Motion picture)', 'Motion picture plays', 'Kubrick, stanley, 1928-1999', 'Motion pictures, great britain']",openlibrary.org
A Clue From The Grave,Irene Pence,"['Murder', 'Case studies', 'Fiction, general']",openlibrary.org
A Cold December With Jackie Snow,Barbie Scott,[],openlibrary.org
A Collector'S Guide To United States Combat,Bruce Canfield,"['Shotguns', 'Assault weapons']",openlibrary.org
A Criminal Love,K.C. Mills,[],openlibrary.org
A Curious History Of Sex,Kate Lister,[],openlibrary.org
A Dangerous Liaison One Woman'S Journey Into A Wor,Shari De Borchgrave,[],openlibrary.org
A Dark Night In Aurora,William Reid,"['Mass murder', 'United states, social conditions']",openlibrary.org
A Deadly Silence,Dena Kleiman,"['Case studies', 'Incest', 'Murder', 'Parricide', 'Sexually abused children']",openlibrary.org
A Deep Dark Secret,Kimberla Roby,"['Stepfathers', 'Fiction', 'Suspense', 'Deacons', 'Sexually abused girls', 'Large type books', 'Fiction, family life, general', 'African americans, fiction', 'Fiction, general']",openlibrary.org
A Defense For The Dead (P),Michael Fredrickson,[],openlibrary.org
A Dog Tries To Kiss The Sky,Keir Peters,[],openlibrary.org
A Dollar Outta Fifteen Cent,Caroline Mcgill,"['African Americans', 'Street life', 'American Erotic stories', 'Fiction']",openlibrary.org
A Dollar Outta Fifteen Cent Part Ii,Caroline Mcgill,[],openlibrary.org
A Dopeman & His Shawty,Tina J.,[],openlibrary.org
A Dopeman & His Shawty 2 Another Hood Love,Tina J.,[],openlibrary.org
A Down Chic,Mallori Mcneal,[],openlibrary.org
